13:32:24.980 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@139c789, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5b0676, org.springframework.boot.test.autoconfigure.AutoConfigureReportTestExecutionListener@568a8, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@119efa7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1c4fe21, org.springframework.test.context.transaction.TransactionalTestExecutionListener@86a0f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6b2f03, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@dbacbf, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2a3945, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@15eb5a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@10e92fe]
13:32:25.623 [main] INFO  com.example.StarterApplicationTests - Starting StarterApplicationTests on OITS-HY2VBY1 with PID 11336 (started by csommers in C:\Users\csommers\Documents\workspace-sts-3.5.1.RELEASE\starter\Spring-Boot-Starter)
13:32:25.623 [main] INFO  com.example.StarterApplicationTests - No active profile set, falling back to default profiles: default
13:32:25.670 [main] INFO  o.s.w.c.s.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@490556: startup date [Wed Sep 07 13:32:25 EDT 2016]; root of context hierarchy
13:32:26.520 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
13:32:27.832 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'dataSource' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=databaseConfig; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/example/config/DatabaseConfig.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=securityConfig; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/example/config/SecurityConfig.class]]
13:32:28.682 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$1872614e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
13:32:28.894 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.data.rest-org.springframework.boot.autoconfigure.data.rest.RepositoryRestProperties' of type [class org.springframework.boot.autoconfigure.data.rest.RepositoryRestProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
13:32:28.926 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.data.rest.RepositoryRestMvcAutoConfiguration' of type [class org.springframework.boot.autoconfigure.data.rest.RepositoryRestMvcAutoConfiguration$$EnhancerBySpringCGLIB$$5680b240] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
13:32:28.957 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.jackson-org.springframework.boot.autoconfigure.jackson.JacksonProperties' of type [class org.springframework.boot.autoconfigure.jackson.JacksonProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
13:32:28.957 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration' of type [class org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration$$EnhancerBySpringCGLIB$$e16988e7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
